target_id,rank,sep,simbad_identifier,ra,pm_ra,dec,pm_dec,ra_d,dec_d,plx,rv,z,magB,magV,sp_type
7332,2,2.6,BD+18 812B,05:16:43.88,~,+18:26:22.4,~,079.18283,+18.43956,~,~,~,8.5,~,B6V
7332,3,2.6,BD+18 812A,05:16:43.88,~,+18:26:22.4,~,079.18283,+18.43956,~,~,~,8.0,~,B3V
7333,2,0.85,BD+18 812B,05:16:43.88,~,+18:26:22.4,~,079.18283,+18.43956,~,~,~,8.5,~,B6V
7333,3,0.85,BD+18 812A,05:16:43.88,~,+18:26:22.4,~,079.18283,+18.43956,~,~,~,8.0,~,B3V
7334,2,0.1,BD+18 812B,05:16:43.88,~,+18:26:22.4,~,079.18283,+18.43956,~,~,~,8.5,~,B6V
7334,3,0.1,BD+18 812A,05:16:43.88,~,+18:26:22.4,~,079.18283,+18.43956,~,~,~,8.0,~,B3V
7335,2,1.07,"WDS J15073+1827AB,C",15:07:20.3,~,+18:26:31,~,226.8346,+18.4419,~,~,~,~,~,~
7344,2,0.58,** TOK 302,15:41:54.7,~,+18:27:50,~,235.4779,+18.4639,~,~,~,~,~,~
7348,2,4.08,Cl* Melotte 25 REID 140,04:17:50.22,~,+18:28:31.9,~,064.45925,+18.47553,~,~,~,15.45,13.88,~
7363,2,6.06,2MASS J14470068+1830195,14:47:00.68,-193,+18:30:19.6,78,221.75283,+18.50544,~,~,~,~,~,~
7366,2,1.28,BD+19 2495A,11:43:47.73,~,+18:31:20.7,~,175.94887,+18.52242,~,~,~,~,~,~
7366,3,4.53,BD+19 2495B,11:43:47.328,-143.7,+18:31:21.73,1.0,175.947200,+18.522703,~,~,~,11.15,10.07,G5
7368,2,2.45,BD+19 2495B,11:43:47.328,-143.7,+18:31:21.73,1.0,175.947200,+18.522703,~,~,~,11.15,10.07,G5
7368,3,3.39,BD+19 2495A,11:43:47.73,~,+18:31:20.7,~,175.94887,+18.52242,~,~,~,~,~,~
7369,2,4.92,BD+19 2495,11:43:47.64080,-147.09,+18:31:20.7676,11.40,175.94850335,+18.52243546,19.14,~,~,10.4,9.0,K5
7369,3,6.13,BD+19 2495A,11:43:47.73,~,+18:31:20.7,~,175.94887,+18.52242,~,~,~,~,~,~
7402,2,3.72,1RXS J163041.0+183800,16:30:41.00,~,+18:38:00.0,~,247.67083,+18.63333,~,~,~,~,~,~
7410,2,0.05,GJ 188 A,05:07:27.007,537.4,+18:38:42.18,19.3,076.862529,+18.645050,~,~,~,5.70,4.99,G4V
7410,3,0.07,* m Tau,05:07:27.00529,534.73,+18:38:42.1815,17.93,076.86252205,+18.64505042,64.79,20.62,0.000069,5.65,5.00,G4V
7411,2,0.08,HD 219828,23:18:46.73445,-4.15,+18:38:44.6021,4.14,349.69472685,+18.64572281,13.83,-24.13,-0.000080,8.68,8.01,G0IV
7417,2,9.81,1RXS J042901.2+184016,04:29:01.200,~,+18:40:16.00,~,067.255000,+18.671111,~,~,~,~,~,~
7424,2,0.17,** TOK 224,00:48:44.8,~,+18:41:08,~,012.1867,+18.6856,~,~,~,~,~,~
7437,2,0.17,** LDS 2266,04:42:51.70,~,+18:43:13.5,~,070.71542,+18.72042,~,~,~,~,~,~
7444,2,2.01,HD 131334,14:52:30.03572,-26.74,+18:44:21.1969,196.38,223.12514884,+18.73922135,20.65,-46.40,-0.000155,8.91,8.29,G0V
7445,2,1.77,TYC 1481-172-2,14:52:29.949,-26.4,+18:44:19.65,198.3,223.124787,+18.738792,~,~,~,11.17,10.15,~
7446,2,2.02,TYC 1481-172-2,14:52:29.949,-26.4,+18:44:19.65,198.3,223.124787,+18.738792,~,~,~,11.17,10.15,~
7447,2,9.48,1RXS J005121.1+184423,00:51:21.101,~,+18:44:23.50,~,012.837921,+18.739861,~,~,~,~,~,~
7460,2,2.05,Cl* Melotte 25 PELS 72,04:27:58.91,~,+18:45:34.6,~,066.99546,+18.75961,~,~,~,15.82,14.22,~
7468,2,3.81,2MASS J19534905+1846003,19:53:49.051,~,+18:46:00.34,~,298.454379,+18.766761,~,~,~,14.65,13.43,~
7468,3,4.26,[KGS2008] J195349.1+184559,19:53:49.1,~,+18:45:59,~,298.4546,+18.7664,~,~,~,13.55,12.51,~
